severity,file,line,kind,target,note
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,464,md-link,".claude/skills/audit-report/skill.md","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/.claude/skills/audit-report/skill.md"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,464,backtick-path,"scripts/audit-pipeline.js","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/scripts/audit-pipeline.js"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,464,backtick-path,"scripts/cogs/mx-audit.cog.md","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/scripts/cogs/mx-audit.cog.md"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,464,backtick-path,".claude/skills/audit-site/skill.md","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/.claude/skills/audit-site/skill.md"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,464,backtick-path,".claude/skills/audit-report/skill.md","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/.claude/skills/audit-report/skill.md"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,468,md-link,"mx-reginald/audit/scripts/repair-report-final.js","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-reginald/audit/scripts/repair-report-final.js"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,468,backtick-path,"mx-reginald/audit/scripts/repair-report-final.js","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-reginald/audit/scripts/repair-report-final.js"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,469,md-link,"mx-reginald/audit/scripts/check-report-voice.js","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-reginald/audit/scripts/check-report-voice.js"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,469,backtick-path,"mx-reginald/audit/scripts/check-report-voice.js","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-reginald/audit/scripts/check-report-voice.js"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,476,md-link,"mx-outputs/audit/2026-05-19/mx.allabout.network/","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-outputs/audit/2026-05-19/mx.allabout.network"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,477,md-link,"mx-outputs/md/reports/directors/session/2026-05-19-evening-report.md","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-outputs/md/reports/directors/session/2026-05-19-evening-report.md"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,477,backtick-path,"mx-outputs/md/reports/directors/session/2026-05-19-evening-report.md","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-outputs/md/reports/directors/session/2026-05-19-evening-report.md"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,483,md-link,"mx-outputs/mx-site/reginald/mx-machine-readiness.html","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-outputs/mx-site/reginald/mx-machine-readiness.html"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,483,backtick-path,"mx-outputs/mx-site/reginald/mx-machine-readiness.html","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-outputs/mx-site/reginald/mx-machine-readiness.html"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,484,md-link,"mx-outputs/mx-site/blog/machine-experience-adding-metadata.html","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-outputs/mx-site/blog/machine-experience-adding-metadata.html"
